appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,scn_decision
South-South,South-South,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Dismissed
FCT,FCT,Claim_for_recovery,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Fine,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Claim_for_recovery,Fine,1,0,0,1,0,0,0,0,0,Granted
North-West,South-West,Others,,0,0,0,3,0,0,0,0,0,Granted
South-West,South-West,Trespassing,Fine,0,0,0,4,0,0,0,0,0,Dismissed
South-West,South-West,Theft,Prison_term,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Prison_term,0,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Law_of_tort,Fine,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Fine,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Fraud_impersonation,,1,0,0,1,0,0,4,0,0,Granted
South-South,South-East,Trespassing,,0,0,0,1,1,0,0,0,0,Granted
South-South,South-East,Trespassing,,0,0,0,1,0,0,0,0,0,Granted
FCT,North-Central,Trespassing,Fine,0,0,0,1,0,0,0,0,0,Dismissed
FCT,FCT,Election_petition,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Others,Fine,1,0,0,1,0,0,0,0,0,Granted
South-South,,Law_of_tort,Fine,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,1,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Civil_petition,,1,1,0,3,0,0,0,0,0,Granted
South-East,South-East,Court_order_violation,Payment_damages,1,0,0,1,1,0,0,0,0,Granted
South-South,South-South,Election_petition,,0,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Others,Payment_damages,0,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Others,,2,0,0,2,0,0,0,0,0,Dismissed
FCT,,Election_petition,,1,1,0,1,0,0,0,0,0,Granted
South-West,South-West,Armed_robbery,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Law_of_tort,Fine,1,1,0,1,1,0,1,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,1,0,0,1,0,0,0,0,0,Granted
FCT,FCT,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Death,1,0,1,1,1,0,1,0,0,Dismissed
FCT,,Law_of_tort,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Curroption_abuse_office,,1,1,0,1,1,0,2,0,1,Dismissed
South-West,South-West,Trespassing,Fine,0,0,0,1,0,0,0,0,0,Dismissed
FCT,North-Central,Trespassing,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Armed_robbery,Death,1,1,0,1,1,0,0,0,0,Granted
South-West,South-West,Armed_robbery,Death,2,0,2,1,1,0,4,0,0,Dismissed
North-Central,North-Central,Others,Fine,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Rape_sexual_abuse,Prison_term,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Law_of_tort,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Rape_sexual_abuse,Prison_term,1,0,0,1,0,0,0,0,0,Granted
South-West,,Murder_manslaughter,Prison_term,0,0,0,2,2,0,1,0,0,Dismissed
North-West,North-West,Murder_manslaughter,Death,0,0,0,1,1,0,1,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,0,0,0,2,2,0,6,0,2,Dismissed
South-West,South-West,Trespassing,,0,0,0,7,0,0,0,0,0,Granted
South-South,,Unlawful_termination_appointment,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Unlawful_termination_appointment,Payment_damages,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Fine,1,0,1,1,0,1,0,0,0,Dismissed
South-West,South-West,Others,Fine,1,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Law_of_tort,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,Fine,1,1,0,1,1,0,0,0,0,Granted
South-West,South-West,Conspiracy,Prison_term,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Fine,1,0,1,1,1,0,0,0,0,Granted
South-South,,Others,Fine,1,1,0,1,1,0,0,0,0,Granted
South-West,,Unlawful_termination_appointment,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
North-West,FCT,Others,,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Fine,1,0,0,1,0,0,0,0,0,Granted
South-East,South-East,Trespassing,,1,0,0,1,0,0,0,0,0,Granted
South-West,,Law_of_tort,Fine,1,1,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Law_of_tort,Fine,0,0,0,3,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,,1,1,0,1,1,0,0,0,0,Dismissed
South-West,,Murder_manslaughter,Prison_term,1,0,0,2,0,0,0,0,0,Dismissed
South-West,South-South,Law_of_tort,Fine,1,0,0,1,0,0,0,0,0,Dismissed
South-East,,Trespassing,Fine,1,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Fraud_impersonation,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Fine,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Others,,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Others,Fine,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Law_of_tort,Others,1,1,0,1,1,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Prison_term,0,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Damage_property,Fine,3,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Armed_robbery,Death,1,1,1,1,1,0,0,0,0,Granted
North-Central,,Trespassing,Appeal_granted,0,0,0,1,1,0,7,0,2,Dismissed
South-South,South-South,Unlawful_possession,Fine,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Claim_for_recovery,,0,0,0,1,1,0,0,0,0,Granted
North-Central,North-East,Trespassing,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-West,,Theft,Prison_term,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Theft,,1,0,1,1,0,1,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Prison_term,0,0,0,1,1,0,4,0,0,Dismissed
North-Central,North-Central,Unlawful_possession,Fine,0,0,0,0,0,0,0,0,0,Dismissed
FCT,North-Central,Armed_robbery,Prison_term,0,0,0,0,0,0,1,0,2,Dismissed
South-West,South-West,Rape_sexual_abuse,Prison_term,0,0,0,1,0,0,0,0,0,Dismissed
North-West,North-West,Armed_robbery,Death,0,0,0,1,1,0,5,0,1,Dismissed
North-Central,,Rape_sexual_abuse,Prison_term,0,0,0,1,1,0,5,0,4,Dismissed
North-Central,North-East,Theft,,0,0,0,1,1,0,6,0,1,Dismissed
North-Central,FCT,Wrongful_accusations,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,0,0,0,1,1,0,4,1,2,Dismissed
South-West,South-West,Trespassing,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Trespassing,Fine,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Human_rights_violation,Payment_damages,1,0,1,1,0,1,0,0,0,Granted
North-Central,North-Central,Others,Fine,0,0,0,0,0,0,0,0,0,Dismissed
North-Central,North-Central,Election_petition,,1,1,0,1,1,0,1,0,0,Dismissed
North-Central,North-Central,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
FCT,North-Central,Damage_property,Prison_term,0,0,0,1,0,1,0,0,0,Dismissed
FCT,North-Central,Murder_manslaughter,Prison_term,0,0,0,1,1,0,2,0,5,Granted
North-Central,North-Central,Theft,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Fraud_impersonation,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Others,Fine,0,0,0,0,0,0,0,0,0,Dismissed
North-West,South-West,Unlawful_termination_appointment,,0,0,0,0,0,0,0,0,0,Granted
South-West,,Dispute,,1,1,0,1,1,0,0,0,0,Granted
South-West,,Theft,Fine,1,1,0,4,0,0,1,0,0,Dismissed
North-West,,Unlawful_termination_appointment,Fine,1,0,1,1,0,1,0,0,0,Dismissed
South-West,,Armed_robbery,Prison_term,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Libel,Appeal_dismissed,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Murder_manslaughter,Prison_term,0,0,0,5,0,0,0,0,0,Dismissed
North-West,North-West,Trespassing,Payment_damages,1,0,0,0,0,0,0,0,0,Granted
South-West,,Claim_for_recovery,,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Armed_robbery,Death,0,0,0,1,1,0,0,0,0,Dismissed
North-West,,Others,,1,0,0,1,0,0,0,0,0,Granted
FCT,FCT,Others,,1,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Others,Appeal_dismissed,1,1,0,1,1,0,0,0,0,Granted
South-West,South-West,Theft,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
FCT,North-Central,Fraud_impersonation,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Granted
South-South,South-East,Claim_for_recovery,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Election_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Others,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,1,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Others,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Unlawful_possession,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Human_rights_violation,,1,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Unlawful_possession,Fine,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Unlawful_possession,Fine,0,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Theft,Fine,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Unlawful_possession,Fine,1,1,0,2,2,0,0,0,0,Dismissed
South-South,South-South,Unlawful_possession,,0,0,0,0,0,0,0,0,0,Granted
North-West,,Armed_robbery,Death,1,1,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,10,0,1,Dismissed
South-West,,Armed_robbery,Death,0,0,0,0,0,0,1,0,0,Granted
South-South,,Murder_manslaughter,Death,0,0,0,0,0,0,5,0,0,Dismissed
South-West,South-West,Murder_manslaughter,,0,0,0,0,0,0,0,0,0,Granted
South-East,South-South,Murder_manslaughter,Death,0,0,0,0,0,0,8,0,9,Dismissed
North-West,North-West,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Granted
North-West,North-West,Murder_manslaughter,Prison_term,0,0,0,0,0,0,0,0,0,Granted
South-East,South-East,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Armed_robbery,Death,0,0,0,0,0,0,0,0,0,Granted
North-West,,Armed_robbery,Death,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Armed_robbery,Prison_term,0,0,0,0,0,0,4,0,2,Granted
South-West,,Armed_robbery,Prison_term,0,0,0,0,0,0,0,0,0,Dismissed
North-West,North-West,Armed_robbery,Death,1,1,0,0,0,0,9,0,0,Granted
North-West,North-West,Armed_robbery,Death,0,0,0,0,0,0,8,0,1,Dismissed
North-West,,Armed_robbery,Prison_term,0,0,0,0,0,0,0,0,0,Granted
FCT,North-Central,Armed_robbery,Prison_term,0,0,0,0,0,0,4,0,1,Granted
South-West,South-West,Murder_manslaughter,Prison_term,0,0,0,1,1,0,0,2,0,Dismissed
North-East,North-East,Armed_robbery,,0,0,0,0,0,0,0,0,0,Granted
North-West,North-West,Rape_sexual_abuse,Prison_term,1,0,1,1,1,0,0,0,0,Dismissed
North-West,North-West,Armed_robbery,Death,0,0,0,3,3,0,4,0,0,Dismissed
North-West,North-West,Murder_manslaughter,Death,0,0,0,0,0,0,7,0,0,Dismissed
FCT,,Armed_robbery,Death,1,1,0,5,5,0,0,3,5,Dismissed
FCT,North-Central,Murder_manslaughter,,1,1,0,3,3,0,0,2,0,Dismissed
South-South,South-East,Murder_manslaughter,Death,0,0,0,6,6,0,0,0,0,Dismissed
South-East,South-East,Curroption_abuse_office,Prison_term_fine,0,0,0,1,1,0,0,0,0,Granted
South-East,South-East,Murder_manslaughter,Appeal_granted,0,0,0,2,2,0,6,0,0,Granted
South-West,South-West,Murder_manslaughter,Prison_term,0,0,0,5,5,0,0,2,0,Granted
South-West,South-West,Unlawful_possession,,1,1,0,1,1,0,0,4,0,Dismissed
South-West,South-West,Murder_manslaughter,Prison_term,0,0,0,1,1,0,3,0,0,Granted
North-West,North-West,Armed_robbery,Death,1,1,0,8,8,0,0,0,1,Dismissed
North-West,,Armed_robbery,Death,0,0,0,5,5,0,0,0,0,Dismissed
North-West,North-West,Armed_robbery,Death,1,1,0,2,2,0,0,1,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,0,0,0,2,2,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Armed_robbery,Death,0,0,0,6,6,0,0,3,8,Dismissed
North-West,North-West,Armed_robbery,,0,0,0,6,6,0,0,0,8,Granted
South-West,South-West,Fraud_impersonation,Prison_term,0,0,0,1,1,0,8,0,0,Dismissed
South-West,,Unlawful_possession,Prison_term_fine,1,1,0,1,1,0,0,0,0,Dismissed
South-South,,Unlawful_termination_appointment,Others,0,0,0,1,1,0,0,0,0,Dismissed
FCT,North-Central,Armed_robbery,Others,1,1,0,4,4,0,3,0,0,Granted
North-Central,North-Central,Murder_manslaughter,Death,1,0,1,1,0,1,0,0,0,Dismissed
South-West,,Libel,,1,1,0,1,1,0,0,0,0,Dismissed
FCT,North-Central,Murder_manslaughter,,0,0,0,6,6,0,0,0,0,Dismissed
FCT,North-Central,Murder_manslaughter,Prison_term,0,0,0,4,4,0,8,0,0,Dismissed
North-Central,,Armed_robbery,Prison_term,1,1,0,4,4,0,1,1,1,Dismissed
North-Central,North-Central,Armed_robbery,,1,1,0,2,2,0,0,0,0,Granted
FCT,,Fraud_impersonation,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Election_petition,,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Conspiracy,,1,1,0,5,5,0,10,0,0,Granted
South-West,,Unlawful_possession,Prison_term,0,0,0,1,0,1,0,0,0,Dismissed
South-South,South-South,Armed_robbery,Death,0,0,0,1,1,0,0,0,0,Dismissed
FCT,North-Central,Theft,Appeal_granted,1,1,0,1,1,0,0,0,0,Granted
South-South,South-South,Human_rights_violation,Appeal_granted,1,1,0,1,1,0,0,0,0,Dismissed
South-West,,Court_order_violation,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
South-East,,Murder_manslaughter,Prison_term,1,0,1,1,1,0,1,2,0,Dismissed
South-West,South-West,Armed_robbery,,0,0,0,3,3,0,4,0,0,Dismissed
South-West,South-West,Trespassing,Payment_damages,1,0,1,3,0,3,0,0,0,Granted
North-Central,North-Central,Theft,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Prison_term,1,1,0,1,1,0,4,0,0,Dismissed
FCT,North-Central,Unlawful_possession,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Election_petition,Payment_damages,1,1,0,2,2,0,0,0,0,Dismissed
North-Central,North-East,Curroption_abuse_office,Fine,0,0,0,0,0,0,0,0,0,Dismissed
North-Central,North-Central,Law_of_tort,Fine,1,1,0,1,1,0,0,0,0,Dismissed
North-Central,North-East,Law_of_tort,Fine,1,1,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Election_petition,Appeal_granted,1,1,0,2,2,0,0,0,0,Dismissed
South-South,South-South,Theft,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
North-West,South-West,Dispute,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Curroption_abuse_office,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
South-West,,Law_of_tort,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Curroption_abuse_office,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Law_of_tort,Payment_damages,0,0,0,2,2,0,0,0,0,Granted
South-South,,Unlawful_termination_appointment,Fine,1,1,0,1,1,0,0,0,0,Dismissed
North-West,,Law_of_tort,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-East,,Murder_manslaughter,Death,0,0,0,5,5,0,0,0,0,Dismissed
South-West,South-West,Law_of_tort,Payment_damages,1,1,0,1,1,0,0,0,0,Granted
South-West,South-West,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Election_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Human_rights_violation,Others,0,0,0,1,1,0,6,0,0,Granted
South-South,,Murder_manslaughter,Death,0,0,0,6,6,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Prison_term,0,0,0,1,1,0,4,0,0,Dismissed
North-West,South-West,Dispute,Fine,1,1,0,2,2,0,0,0,0,Granted
South-South,South-West,Claim_for_recovery,Payment_damages,1,1,0,2,1,1,0,0,0,Granted
South-South,South-East,Claim_for_recovery,Fine,0,0,0,0,0,0,0,0,0,Granted
South-East,South-East,Election_petition,Payment_damages,1,1,0,2,2,0,0,0,0,Dismissed
South-East,South-South,Theft,Appeal_granted,2,2,0,1,1,0,0,0,0,Granted
South-South,South-East,Theft,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Theft,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
South-East,South-East,Murder_manslaughter,,0,0,0,3,3,0,0,0,0,Dismissed
FCT,,Unlawful_termination_appointment,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Theft,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
South-East,South-East,Election_petition,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
FCT,FCT,Fraud_impersonation,Payment_damages,0,0,0,2,2,0,0,0,0,Dismissed
South-South,South-South,Trespassing,,1,1,0,1,1,0,0,0,0,Dismissed
South-East,,Theft,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-East,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
South-South,South-East,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Murder_manslaughter,Death,0,0,0,1,1,0,6,0,0,Dismissed
South-South,,Theft,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Theft,Appeal_granted,1,1,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Armed_robbery,,0,0,0,6,6,0,0,0,0,Granted
FCT,,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Curroption_abuse_office,Payment_damages,0,0,0,5,5,0,12,0,0,Dismissed
South-South,,Claim_for_recovery,Fine,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Others,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
South-South,South-East,Theft,Appeal_granted,1,1,0,1,1,0,0,0,0,Granted
South-South,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
South-South,South-East,Election_petition,,0,0,0,0,0,0,0,0,0,Dismissed
North-West,North-West,Unlawful_possession,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
FCT,FCT,Election_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-East,,Election_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Death,1,0,1,2,2,0,0,0,0,Dismissed
FCT,,Murder_manslaughter,Payment_damages,0,0,0,8,8,0,19,0,0,Granted
South-East,South-East,Unlawful_termination_appointment,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
FCT,FCT,Curroption_abuse_office,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,5,0,0,Dismissed
FCT,South-South,Curroption_abuse_office,Payment_damages,1,1,0,1,1,0,0,0,0,Granted
South-South,South-South,Theft,Appeal_granted,4,4,0,1,1,0,0,0,0,Granted
South-South,South-East,Theft,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
South-East,South-East,Theft,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Theft,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_granted,1,0,1,2,2,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,1,1,0,1,1,0,4,0,0,Dismissed
South-South,South-South,Murder_manslaughter,,0,0,0,2,2,0,5,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-South,FCT,Election_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Claim_for_recovery,Fine,0,0,0,0,0,0,0,0,0,Dismissed
North-West,North-West,Unlawful_possession,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
FCT,,Others,Others,0,0,0,3,3,0,0,0,0,Dismissed
North-West,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Dispute,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
FCT,,Armed_robbery,Prison_term,0,0,0,0,0,0,0,0,0,Granted
South-East,,Theft,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,Payment_damages,1,1,0,1,0,1,0,0,0,Granted
South-East,,Curroption_abuse_office,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
FCT,FCT,Court_order_violation,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Curroption_abuse_office,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Others,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Claim_for_recovery,Fine,1,1,0,1,1,0,0,0,0,Granted
South-West,South-West,Unlawful_termination_appointment,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
FCT,FCT,Law_of_tort,Fine,1,1,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Law_of_tort,Fine,1,1,0,1,1,0,0,0,0,Granted
South-West,,Curroption_abuse_office,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-West,,Dispute,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Claim_for_recovery,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-East,,Curroption_abuse_office,Payment_damages,1,1,0,0,0,0,0,0,0,Granted
South-East,South-East,Claim_for_recovery,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Law_of_tort,Fine,1,1,0,1,1,0,0,0,0,Dismissed
South-South,,Theft,Payment_damages,0,0,0,1,1,0,0,0,0,Granted
North-Central,North-East,Trespassing,Fine,1,1,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Dispute,Appeal_granted,1,1,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,,Dispute,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Claim_for_recovery,Fine,1,1,0,1,1,0,0,0,0,Granted
FCT,FCT,Election_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Armed_robbery,Death,1,1,0,4,4,0,6,0,0,Dismissed
South-West,South-West,Fraud_impersonation,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-South,Law_of_tort,Fine,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Fraud_impersonation,Appeal_granted,0,0,0,1,1,0,0,0,0,Dismissed
South-East,FCT,Election_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
FCT,FCT,Others,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
FCT,FCT,Fraud_impersonation,Payment_damages,0,0,0,0,0,0,3,0,0,Dismissed
South-East,South-East,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Theft,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
FCT,FCT,Curroption_abuse_office,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Human_rights_violation,Fine,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Theft,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-West,,Law_of_tort,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Armed_robbery,Death,0,0,0,4,4,0,4,0,0,Dismissed
North-West,North-West,Others,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
South-South,South-East,Theft,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
FCT,North-Central,Election_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Election_petition,Payment_damages,1,0,1,0,0,0,0,0,0,Dismissed
South-West,South-West,Curroption_abuse_office,Appeal_granted,1,1,0,0,0,0,0,0,0,Granted
South-West,South-West,Fraud_impersonation,Payment_damages,1,1,0,4,4,0,12,0,0,Granted
South-South,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Law_of_tort,Fine,1,1,0,1,1,0,0,0,0,Granted
South-South,,Law_of_tort,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
North-Central,,Theft,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
FCT,,Theft,Appeal_granted,2,2,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Claim_for_recovery,Fine,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Human_rights_violation,Fine,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Law_of_tort,Payment_damages,1,1,0,1,1,0,0,0,0,Granted
South-East,South-East,Dispute,Appeal_granted,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Others,Appeal_granted,1,1,0,1,1,0,0,0,0,Dismissed
